Herd-Year-Classifier,Age_class_at_first_calving,Class_of_days_in_milk,Animal,Front_muscularity,Udder,Thorax_depth,Thinness,Fore_udder_attach,Rear_udder_attach,Udder_width
241,6,2,402,3,3,3,3,3,4,4
241,5,3,456,4,3,3,3,3,3,3
109,4,5,118,4,2,3,3,2,3,2
109,5,4,120,2,3,3,3,3,2,2
109,1,2,1583,3,3,3,3,3,3,2
115,4,4,65,4,1,4,3,2,2,2
115,2,5,125,3,3,3,3,3,3,2
115,3,4,126,4,3,4,3,3,3,2
115,4,4,242,3,3,4,3,4,3,2
118,5,3,79,3,3,3,3,3,3,3
118,5,3,80,3,3,4,3,3,3,3
118,4,4,81,3,3,4,4,4,3,2
118,4,4,82,2,3,2,3,3,3,3
118,7,1,83,3,3,4,3,2,3,3
120,4,4,76,2,2,3,3,1,2,2
120,9,3,18860,3,2,3,3,2,2,2
121,4,3,127,3,3,4,3,3,3,2
121,5,3,129,3,2,3,3,2,3,2
121,3,4,750,3,3,4,3,4,3,3
122,3,4,131,3,3,4,3,4,3,2
122,1,4,132,4,1,3,3,1,2,2
123,5,4,94,3,2,4,3,3,2,3
123,4,4,95,3,2,3,3,2,3,2
123,4,5,96,2,2,3,3,4,3,2
123,6,3,97,3,2,3,3,3,2,3
123,4,3,1069,3,3,4,3,4,3,3
370,4,4,85,3,3,3,2,3,3,2
370,7,2,86,4,3,3,2,3,3,2
370,5,4,87,3,3,4,3,3,3,2
39,5,2,384,2,2,3,3,2,2,2
39,4,4,386,2,2,3,3,2,5,1
75,7,2,960,3,3,2,1,4,3,1
75,5,3,961,3,3,3,2,2,2,3
75,4,4,962,3,3,2,2,3,3,2
76,4,4,787,3,2,2,1,2,2,3
76,3,4,18945,2,2,3,4,2,3,2
180,4,3,238,3,3,3,3,4,2,3
180,5,4,396,3,2,4,3,1,1,2
180,5,4,397,4,3,3,3,4,3,4
180,9,4,398,4,3,3,3,3,3,3
180,4,2,821,3,4,4,3,4,4,4
181,5,3,387,4,2,4,3,3,3,3
181,4,3,388,4,2,4,3,2,2,2
181,3,3,1179,4,3,4,3,3,3,3
182,5,4,393,3,3,4,4,3,3,3
182,6,3,394,4,3,3,3,4,3,4
184,5,4,392,3,2,4,4,2,2,2
184,2,4,1184,2,3,3,3,3,3,2
184,3,4,1185,4,3,3,4,3,3,3
185,9,4,7,4,3,3,3,2,3,3
185,5,3,389,3,3,3,3,2,3,3
185,4,4,390,3,3,3,3,3,3,2
185,7,1,391,4,3,4,3,3,3,3
185,2,3,820,2,3,3,3,2,3,3
188,5,3,373,3,2,4,4,2,2,4
188,5,2,374,4,3,4,3,3,3,3
188,5,1,988,4,2,4,4,2,2,2
