Herd_Year,Parity_conception_interval,Calving_season,No_calvings,Tournament_within_WC,Herd_Year(fighting_ability),Age_class,Weight_category_WC,Body_weight,Animal,Fighting_ability,Fat,Protein,Milk
778,7,2,3,0,0,0,0,0,1,0,4.2,3.8,11.39
1553,5,4,5,0,0,0,0,0,2,0,6.7,8,23.62
2879,5,2,5,0,0,0,0,0,3,0,10.6,11.1,33.82
2246,6,2,4,0,0,0,0,0,4,0,7.2,7.3,21.02
2247,8,2,5,0,0,0,0,0,4,0,3.9,4.1,11.88
2678,6,2,5,0,0,0,0,0,5,0,7.7,7,21.13
2193,4,5,3,0,0,0,0,0,6,0,12.2,12.2,34.94
2194,4,4,4,0,0,0,0,0,6,0,11.3,12.5,35.79
2194,4,3,5,0,0,0,0,0,6,0,12.8,12,36.09
2987,5,3,1,0,0,0,0,0,7,0,5.1,5.2,15.64
2988,9,2,3,0,0,0,0,0,7,0,9.6,8.4,26.17
2990,0,4,4,0,0,0,0,0,7,0,12.5,9,30.39
2990,7,3,5,0,0,0,0,0,7,0,12.2,9.9,30.21
411,8,4,1,0,0,0,0,0,8,0,8.7,8.2,26.79
412,0,5,2,0,0,0,0,0,8,0,9.7,9.2,29.6
413,6,4,3,0,0,0,0,0,8,0,15.3,14.3,42.68
1277,6,2,1,0,0,0,0,0,9,0,4.7,5,13.26
1278,13,2,2,0,0,0,0,0,9,0,6.4,6.1,17.22
1279,2,5,3,0,0,0,0,0,9,0,9.3,8.5,26.19
1280,2,5,4,0,0,0,0,0,9,0,7.2,6.5,18.88
1280,0,3,5,0,0,0,0,0,9,0,9.4,8.9,25.34
1277,6,2,1,0,0,0,0,0,10,0,4.8,5.4,15.11
1278,5,2,2,0,0,0,0,0,10,0,6.9,6.5,19.02
2987,7,2,1,0,0,0,0,0,11,0,8.1,7.7,20.53
2989,6,3,3,0,0,0,0,0,11,0,10.3,9.1,25.82
2990,6,3,4,0,0,0,0,0,11,0,15.1,13.5,38.17
2992,4,4,5,0,0,0,0,0,11,0,10.5,10.6,29.06
4248,12,2,4,0,0,0,0,0,12,0,6.8,5.9,17.98
4250,3,5,5,0,0,0,0,0,12,0,6.9,6.5,18.61
1733,3,4,4,0,0,0,0,0,13,0,9.5,10.1,29.57
3631,6,5,4,0,0,0,0,0,14,0,9.3,9.3,26.24
3632,4,4,5,0,0,0,0,0,14,0,9.7,8.1,25.37
778,6,2,1,0,0,0,0,0,15,0,7.9,7,21.72
780,6,4,4,0,0,0,0,0,15,0,6.9,7.4,22.11
781,3,4,5,0,0,0,0,0,15,0,5.6,6,17.05
1745,4,3,1,0,0,0,0,0,16,0,8.1,8.3,24.01
1746,7,2,2,0,0,0,0,0,16,0,7.1,8.6,26.61
1629,5,3,3,0,0,0,0,0,16,0,7.2,7.7,23.91
1630,5,3,4,0,0,0,0,0,16,0,7.8,8,25.47
1745,5,2,1,0,0,0,0,0,17,0,10.2,10,29.09
1747,4,3,3,0,0,0,0,0,17,0,11.2,12.3,36.96
1748,6,3,4,0,0,0,0,0,17,0,13.3,13,40.3
1750,4,4,5,0,0,0,0,0,17,0,13.2,13.1,41.32
223,2,5,4,0,0,0,0,0,18,0,18.2,16.9,48.93
3188,4,5,3,0,0,0,0,0,19,0,6.9,7.1,21.56
3189,4,5,4,0,0,0,0,0,19,0,8.1,8.7,26.12
3190,9,4,5,0,0,0,0,0,19,0,8.2,8.6,25.72
1211,2,4,1,0,0,0,0,0,20,0,9.6,9.3,29.64
1211,3,3,2,0,0,0,0,0,20,0,8.7,10.3,29.41
1212,9,3,4,0,0,0,0,0,20,0,14.6,13.8,43.48
1213,11,4,5,0,0,0,0,0,20,0,20.9,17.4,55.31
383,5,2,1,0,0,0,0,0,21,0,8.6,8.3,23.78
3816,6,2,1,0,0,0,0,0,22,0,8,8.1,23.17
3790,4,4,4,0,0,0,0,0,22,0,15.7,13.5,41.23
