,year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver
1,2019,4,18,Thursday,11,53,NA,NA,birth,,,kch
2,2019,10,18,Friday,7,50,NA,NA,wet,,,ap
3,2019,10,18,Friday,10,0,NA,NA,wet,,,ap
4,2019,10,18,Friday,12,20,NA,NA,wet,,,ap
5,2019,10,18,Friday,14,25,NA,NA,wet,,,ap
6,2019,10,18,Friday,8,20,NA,NA,bottle,1.5,oz,ap
7,2019,10,18,Friday,10,40,NA,NA,bottle,2.5,oz,ap
8,2019,10,18,Friday,12,30,NA,NA,bottle,2,oz,ap
9,2019,10,18,Friday,14,53,NA,NA,bottle,2,oz,ap
10,2019,10,18,Friday,9,10,9,58,nap,,,ap
11,2019,10,18,Friday,13,1,13,30,nap,,,ap
12,2019,10,17,Thursday,7,50,NA,NA,wet,,,ap
13,2019,10,17,Thursday,8,30,NA,NA,caregiver_change,,,ap_vona
14,2019,10,17,Thursday,9,55,NA,NA,wet,,,vona
15,2019,10,17,Thursday,11,53,NA,NA,wet,,,vona
16,2019,10,17,Thursday,13,41,NA,NA,bowel,,,vona
17,2019,10,17,Thursday,15,15,NA,NA,wet,,,vona
18,2019,10,17,Thursday,9,21,9,52,nap,,,vona
19,2019,10,17,Thursday,14,12,14,45,nap,,,vona
20,2019,10,17,Thursday,9,8,NA,NA,bottle,3,oz,vona
21,2019,10,17,Thursday,11,5,NA,NA,bottle,2,oz,vona
22,2019,10,17,Thursday,12,10,NA,NA,bottle,2,oz,vona
23,2019,10,17,Thursday,14,0,NA,NA,bottle,2,oz,vona
24,2019,10,16,Wednesday,7,10,NA,NA,dry,,,ap
25,2019,10,16,Wednesday,8,5,NA,NA,wet,,,ap
26,2019,10,16,Wednesday,10,0,NA,NA,wet,,,ap
27,2019,10,16,Wednesday,11,35,NA,NA,bowel,,,ap
28,2019,10,16,Wednesday,13,15,NA,NA,wet,,,ap
29,2019,10,16,Wednesday,8,0,NA,NA,bottle,2,oz,ap
30,2019,10,16,Wednesday,10,40,NA,NA,bottle,3.5,oz,ap
31,2019,10,16,Wednesday,13,20,NA,NA,bottle,3,oz,ap
32,2019,10,16,Wednesday,9,5,9,45,nap,,,ap
33,2019,10,16,Wednesday,13,30,14,10,nap,,,ap
34,2019,10,15,Tuesday,6,50,NA,NA,dry,,,ap
35,2019,10,15,Tuesday,7,50,NA,NA,wet,,,ap
36,2019,10,15,Tuesday,10,5,NA,NA,wet,,,ap
37,2019,10,15,Tuesday,12,20,NA,NA,bowel,,,ap
38,2019,10,15,Tuesday,14,10,NA,NA,wet,,,ap
39,2019,10,15,Tuesday,8,0,NA,NA,bottle,2,oz,ap
40,2019,10,15,Tuesday,10,35,NA,NA,bottle,2,oz,ap
41,2019,10,15,Tuesday,12,45,NA,NA,bottle,1.5,oz,ap
42,2019,10,15,Tuesday,14,15,NA,NA,bottle,1.5,oz,ap
43,2019,10,15,Tuesday,9,30,10,0,nap,,,ap
44,2019,10,15,Tuesday,11,35,12,15,nap,,,ap
45,2019,9,27,Friday,7,0,NA,NA,wet,,,vona
46,2019,9,27,Friday,7,52,NA,NA,bowel,,,vona
47,2019,9,27,Friday,10,15,NA,NA,dry,,,ij
48,2019,9,27,Friday,11,17,NA,NA,bowel,,,ij
49,2019,9,27,Friday,13,50,NA,NA,bowel,,,kc
50,2019,9,27,Friday,13,45,NA,NA,caregiver_change,,,ij_kc
51,2019,9,27,Friday,8,20,NA,NA,bottle,2,oz,vona
52,2019,9,27,Friday,11,15,NA,NA,bottle,2,oz,ij
53,2019,9,27,Friday,10,20,NA,NA,nap,,,ij
54,2019,10,10,Thursday,7,55,NA,NA,wet,,,ap
55,2019,10,10,Thursday,9,45,NA,NA,wet,,,ap
56,2019,10,10,Thursday,12,10,NA,NA,wet,,,ap
57,2019,10,10,Thursday,8,25,NA,NA,bottle,2,oz,ap
58,2019,10,10,Thursday,11,20,NA,NA,bottle,1,oz,ap
59,2019,10,10,Thursday,13,10,NA,NA,bottle,3,oz,ap
60,2019,10,10,Thursday,9,18,9,40,nap,,,ap
61,2019,10,10,Thursday,13,20,NA,NA,nap,,,ap
62,2019,10,7,Monday,NA,NA,NA,NA,intro_highflow_nipples,,,jsmkch
63,2019,10,14,Monday,NA,NA,NA,NA,intro_sleeping_thru_night,,,jsmkch
64,2019,8,22,Thursday,10,30,NA,NA,wet,,,jr
65,2019,8,22,Thursday,12,20,NA,NA,dry,,,jr
66,2019,8,22,Thursday,13,30,NA,NA,bowel,,,jr
67,2019,8,22,Thursday,11,0,NA,NA,caregiver_change,,,vona_jr
68,2019,8,22,Thursday,10,45,NA,NA,bottle,2,oz,jr
69,2019,8,22,Thursday,13,40,NA,NA,bottle,2,oz,jr
70,2019,8,22,Thursday,12,30,13,30,nap,,,jr
71,2019,10,9,Wednesday,8,4,NA,NA,wet,,,ij
72,2019,10,9,Wednesday,10,58,NA,NA,wet,,,kc
73,2019,10,9,Wednesday,12,45,NA,NA,bowel,,,ij
74,2019,10,9,Wednesday,14,30,NA,NA,dry,,,ij
75,2019,10,9,Wednesday,15,0,NA,NA,bowel,,,ij
76,2019,10,9,Wednesday,8,30,NA,NA,bottle,1,oz,ij
77,2019,10,9,Wednesday,11,12,NA,NA,bottle,1,oz,ij
78,2019,10,9,Wednesday,13,0,NA,NA,bottle,2,oz,ij
79,2019,10,9,Wednesday,9,20,10,55,nap,,,ij
80,2019,10,9,Wednesday,13,15,NA,NA,nap,,,ij
81,2019,10,8,Tuesday,7,45,NA,NA,wet,,,ap
82,2019,10,8,Tuesday,10,5,NA,NA,wet,,,ap
83,2019,10,8,Tuesday,11,50,NA,NA,wet,,,ap
84,2019,10,8,Tuesday,13,40,NA,NA,wet,,,ap
85,2019,10,8,Tuesday,7,40,NA,NA,bottle,1,oz,ap
86,2019,10,8,Tuesday,9,20,NA,NA,bottle,1,oz,ap
87,2019,10,8,Tuesday,11,55,NA,NA,bottle,1,oz,ap
88,2019,10,8,Tuesday,13,0,NA,NA,bottle,1,oz,ap
89,2019,10,8,Tuesday,9,23,10,0,nap,,,ap
90,2019,10,8,Tuesday,12,15,12,40,nap,,,ap
91,2019,10,8,Tuesday,14,45,15,10,nap,,,ap
92,2019,9,25,Wednesday,10,30,NA,NA,caregiver_change,,,vona_ap
93,2019,9,25,Wednesday,7,5,NA,NA,wet,,,vona
94,2019,9,25,Wednesday,9,30,NA,NA,wet,,,vona
95,2019,9,25,Wednesday,11,15,NA,NA,wet,,,ap
96,2019,9,25,Wednesday,8,20,NA,NA,bottle,2,oz,vona
97,2019,9,25,Wednesday,9,45,NA,NA,bottle,2.5,oz,vona
98,2019,9,25,Wednesday,8,40,9,30,nap,,,vona
99,2019,9,25,Wednesday,11,25,NA,NA,nap,,,ap
100,2019,10,7,Monday,8,20,NA,NA,caregiver_change,,,kc_vona
101,2019,10,7,Monday,6,50,NA,NA,dry,,,kc
102,2019,10,7,Monday,8,20,NA,NA,wet,,,kc
103,2019,10,7,Monday,10,25,NA,NA,wet,,,vona
104,2019,10,7,Monday,12,35,NA,NA,wet,,,vona
105,2019,10,7,Monday,14,32,NA,NA,bowel,,,vona
106,2019,10,7,Monday,8,0,NA,NA,bottle,2,oz,kc
107,2019,10,7,Monday,11,0,NA,NA,bottle,3,oz,vona
108,2019,10,7,Monday,14,0,NA,NA,bottle,3,oz,vona
109,2019,10,7,Monday,9,10,9,43,nap,,,vona
110,2019,10,7,Monday,12,28,13,22,nap,,,vona
111,2019,10,3,Thursday,6,45,NA,NA,dry,,,ap
112,2019,10,3,Thursday,8,10,NA,NA,wet,,,ap
113,2019,10,3,Thursday,10,30,NA,NA,wet,,,ap
114,2019,10,3,Thursday,11,20,NA,NA,bowel,,,ap
115,2019,10,3,Thursday,13,0,NA,NA,wet,,,ap
116,2019,10,3,Thursday,8,0,NA,NA,bottle,1,oz,ap
117,2019,10,3,Thursday,11,0,NA,NA,bottle,2,oz,ap
118,2019,10,3,Thursday,12,40,NA,NA,bottle,2.5,oz,ap
119,2019,10,3,Thursday,13,30,NA,NA,bottle,2,oz,ap
120,2019,10,3,Thursday,13,45,NA,NA,bowel,,,ap
121,2019,10,3,Thursday,14,20,NA,NA,bowel,,,ap
122,2019,10,3,Thursday,9,10,10,25,nap,,,ap
123,2019,10,3,Thursday,14,27,NA,NA,nap,,,ap
124,2019,10,1,Tuesday,7,55,NA,NA,wet,,,ij
125,2019,10,1,Tuesday,10,5,NA,NA,wet,,,ij
126,2019,10,1,Tuesday,12,37,NA,NA,bowel,,,ij
127,2019,10,1,Tuesday,14,40,NA,NA,diaper,,,kc
128,2019,10,1,Tuesday,14,3,NA,NA,bottle,2,oz,kc
129,2019,10,1,Tuesday,14,3,NA,NA,caregiver_change,,,ij_kc
130,2019,9,24,Tuesday,7,20,NA,NA,dry,,,ap
131,2019,9,24,Tuesday,7,45,NA,NA,wet,,,ap
132,2019,9,24,Tuesday,8,35,NA,NA,bowel,,,ap
133,2019,9,24,Tuesday,10,15,NA,NA,bowel,,,ap
134,2019,9,24,Tuesday,11,55,NA,NA,wet,,,ap
135,2019,9,24,Tuesday,13,40,NA,NA,wet,,,ap
136,2019,9,24,Tuesday,8,25,NA,NA,bottle,2,oz,ap
137,2019,9,24,Tuesday,10,20,NA,NA,bottle,2,oz,ap
138,2019,9,24,Tuesday,12,25,NA,NA,bottle,2,oz,ap
139,2019,9,24,Tuesday,10,35,11,20,nap,,,ap
140,2019,9,24,Tuesday,14,21,15,3,nap,,,ap
141,2019,10,2,Wednesday,12,50,NA,NA,tylenol,3.75,mL,ij
142,2019,10,2,Wednesday,14,20,NA,NA,caregiver_change,,,ij_kc
143,2019,10,2,Wednesday,7,17,NA,NA,wet,,,ij
144,2019,10,2,Wednesday,8,30,NA,NA,bowel,,,ij
145,2019,10,2,Wednesday,11,7,NA,NA,bowel,,,ij
146,2019,10,2,Wednesday,12,0,NA,NA,bowel,,,ij
147,2019,10,2,Wednesday,14,10,NA,NA,wet,,,ij
148,2019,10,2,Wednesday,15,10,NA,NA,wet,,,kc
149,2019,10,2,Wednesday,8,10,NA,NA,bottle,1,oz,ij
150,2019,10,2,Wednesday,10,15,NA,NA,bottle,2,oz,ij
151,2019,10,2,Wednesday,12,40,NA,NA,bottle,1,oz,ij
152,2019,10,2,Wednesday,14,44,NA,NA,bottle,2,oz,ij
153,2019,10,2,Wednesday,8,57,10,14,nap,,,ij
154,2019,10,2,Wednesday,13,23,14,0,nap,,,ij
155,2019,9,30,Monday,7,5,NA,NA,wet,,,vona
156,2019,9,30,Monday,9,2,NA,NA,wet,,,vona
157,2019,9,30,Monday,10,35,NA,NA,bowel,,,vona
158,2019,9,30,Monday,12,38,NA,NA,wet,,,vona
159,2019,9,30,Monday,9,10,NA,NA,bottle,1.5,oz,vona
160,2019,9,30,Monday,11,30,NA,NA,bottle,2,oz,vona
161,2019,9,30,Monday,9,36,10,10,nap,,,vona
162,2019,9,30,Monday,13,11,NA,NA,nap,,,vona
163,2019,9,30,Monday,6,35,NA,NA,arrive,,,NA
164,2019,9,30,Monday,13,5,NA,NA,temperature,101.4,degreesF,vona
165,2019,10,4,Friday,7,15,NA,NA,wet,,,vona
166,2019,10,4,Friday,9,15,NA,NA,wet,,,vona
167,2019,10,4,Friday,10,22,NA,NA,bowel,,,vona
168,2019,10,4,Friday,12,34,NA,NA,wet,,,vona
169,2019,10,4,Friday,13,6,NA,NA,bowel,,,vona
170,2019,10,4,Friday,9,17,NA,NA,bottle,1,oz,vona
171,2019,10,4,Friday,10,48,NA,NA,bottle,2,oz,vona
172,2019,10,4,Friday,13,16,NA,NA,bottle,1.5,oz,vona
173,2019,10,4,Friday,7,52,9,10,nap,,,vona
174,2019,10,4,Friday,14,9,15,20,nap,,,vona
175,2019,10,4,Friday,6,43,NA,NA,arrive,,,NA
176,2019,9,23,Monday,7,10,NA,NA,wet,,,vona
177,2019,9,23,Monday,8,4,NA,NA,bowel,,,vona
178,2019,9,23,Monday,10,5,NA,NA,wet,,,vona
179,2019,9,23,Monday,11,50,NA,NA,wet,,,vona
180,2019,9,23,Monday,13,27,NA,NA,wet,,,vona
181,2019,9,23,Monday,15,20,NA,NA,wet,,,vona
182,2019,9,23,Monday,9,15,NA,NA,bottle,2,oz,vona
